issue_id,source_table,record_id,field_name,issue_type,severity,issue_description
DQ-000001,products,a41e356c76fab66334f36de622ecbd3a,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000002,products,d8dee61c2034d6d075997acef1870e9b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000003,products,56139431d72cd51f19eb9f7dae4d1617,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000004,products,46b48281eb6d663ced748f324108c733,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000005,products,5fb61f482620cb672f5e586bb132eae9,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000006,products,e10758160da97891c2fdcbc35f0f031d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000007,products,39e3b9b12cd0bf8ee681bbc1c130feb5,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000008,products,794de06c32a626a5692ff50e4985d36f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000009,products,7af3e2da474486a3519b0cba9dea8ad9,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000010,products,629beb8e7317703dcc5f35b5463fd20e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000011,products,3a78f64aac654298e4b9aff32fc21818,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000012,products,bcb815bba008d89458e428078c0b9211,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000013,products,6b82874c6b51b92913dcdb364eaaae0f,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000014,products,c68b419d9c6038271b85bac98adb0fc9,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000015,products,1dcd65bb5dd967d7b4c6b0223cefb838,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000016,products,671446e8e3aa3df1eca47b6c354a2921,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000017,products,f0ea71b6e2ab4cb3bd8f5ba522a25a56,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000018,products,fedccbd5e370e8ddb7aae6fb4cb70347,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000019,products,212cc0fa7359ab242a697a03a574f719,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000020,products,6b7879a37ac2dbe5289a16706e859870,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000021,products,44e8945e17aef03daaecbc4bbab7f730,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000022,products,3abf2d4698bf245577543ea01d9c7f16,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000023,products,ca26080d8f0fa848c329fe732f5e34e8,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000024,products,1a2ece70966710dec441aa587993b5b4,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000025,products,5f4bceafafc1903556735cb7f2842e78,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000026,products,b61d1388a17e3f547d2bc218df02335b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000027,products,b9adb2d8377c195da59e75743dbb7133,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000028,products,ceeba7d5636e59173cc5f484e913db3d,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000029,products,7ce49c8945602088c4c4ca3e0ceb8244,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000030,products,0533c5ec3a042521493cfb6e12d6befd,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000031,products,9f69acd4da62618a3f6365b732d00ccd,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000032,products,19f3b74026e6ec6c83fc25e21baf454e,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000033,products,0fa699aaa0a38aa5d1de8e7fe04d2204,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000034,products,94c07760f470ab9997f27d0129682eb3,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000035,products,3f6f946481fd39f4eda986012f6e0447,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000036,products,a9d8f831888820cd641dcd5ca9fea4e8,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000037,products,48270bcc7097939dcf14a537d7128054,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000038,products,b5778c55de68777a0a3565e03b2e2817,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000039,products,51fe26bc4bb0f89f07096d8c96b35476,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
DQ-000040,products,9ce62e73b4ea1a6c74b68ba57aa1333b,product_category_name,Missing Product Category,Medium,Product is missing a source category or English category translation.
