purchase_month,total_revenue,item_price_revenue,freight_revenue,payment_revenue,payment_order_variance,total_orders,delivered_orders,late_delivery_count,avg_delivery_days,unique_customers,unique_sellers,average_order_value,late_delivery_rate
2016-09,354.75,267.36,87.39,252.24,-102.51,4,1,1,54.81319444440305,4,3,88.6875,1.0
2016-10,56808.84,49507.66,7301.18,59090.48,2281.64,324,265,3,19.57857175924367,321,143,175.33592592592592,0.011320754716981131
2016-12,19.62,10.9,8.72,19.62,0.0,1,1,0,4.693020833656192,1,1,19.62,0.0
2017-01,137188.49,120312.87,16875.62,138488.04,1299.549999999999,800,750,23,12.647043518523995,765,227,171.4856125,0.030666666666666665
2017-02,286280.62,247303.02,38977.6,291908.01,5627.3899999999985,1780,1653,53,13.168825248991016,1755,427,160.83180898876404,0.03206291591046582
2017-03,432048.59,374344.3,57704.29,449863.6,17815.01,2682,2546,142,12.951184487834322,2642,499,161.09194258016407,0.05577376276512176
2017-04,412422.24,359927.23,52495.01,417788.03,5365.789999999999,2404,2303,181,14.917912500404764,2372,506,171.55667221297836,0.07859313938341293
2017-05,586190.95,506071.14,80119.81,592918.82,6727.869999999999,3700,3546,128,11.322362975370565,3625,583,158.42998648648648,0.03609701071630006
2017-06,502963.04,433038.6,69924.44,511276.38,8313.339999999998,3245,3135,121,12.011572704384433,3180,539,154.99631432973806,0.03859649122807018
2017-07,584971.62,498031.48,86940.14,592382.92,7411.299999999996,4026,3872,133,11.592732387196564,3947,606,145.2984649776453,0.034349173553719005
2017-08,668204.6,573971.68,94232.92,674396.32,6191.719999999998,4331,4193,139,11.147124655509886,4246,708,154.2841376125606,0.03315048891008824
2017-09,720398.91,624401.6900000001,95997.22,727762.45,7363.539999999999,4285,4150,216,11.851006528897189,4212,731,168.1210991831972,0.052048192771084335
2017-10,769312.37,664219.43,105092.94,779677.88,10365.509999999998,4631,4478,237,11.856699698524157,4561,776,166.1222997192831,0.05292541313086199
2017-11,1179143.77,1010271.37,168872.4,1194882.8,15739.029999999997,7544,7289,1043,15.161131699240915,7430,965,156.30219644750795,0.14309233090958978
2017-12,863547.23,743914.17,119633.06,878401.48,14854.249999999998,5673,5513,462,15.39491853010823,5603,861,152.2205587872378,0.08380192272809722
2018-01,1107301.89,950030.36,157271.53,1115004.18,7702.289999999999,7269,7069,464,14.080562613954013,7166,970,152.33208006603383,0.06563870420144292
2018-02,986908.96,844178.71,142730.25,992463.34,5554.379999999998,6728,6555,1048,16.947143150955327,6569,947,146.6868252080856,0.15987795575896263
2018-03,1155126.82,983213.44,171913.38,1159652.12,4525.299999999997,7211,7003,1496,16.30141017440915,7115,996,160.18954652614062,0.21362273311437954
2018-04,1159698.04,996647.75,163050.29,1160785.48,1087.439999999995,6939,6798,361,11.499241053674409,6882,1123,167.1275457558726,0.05310385407472786
2018-05,1149781.82,996517.68,153264.14,1153982.15,4200.329999999996,6873,6749,556,11.419028935355149,6814,1115,167.28965808235125,0.08238257519632539
2018-06,1022677.11,865124.31,157552.8,1023880.5,1203.3899999999967,6167,6099,83,9.239216293164453,6128,1175,165.8305675368899,0.013608788325955074
2018-07,1058728.03,895507.22,163220.81,1066540.75,7812.719999999998,6292,6159,276,8.958636237156037,6230,1261,168.2657390336936,0.044812469556746226
2018-08,1003308.47,854686.33,148622.14,1022425.32,19116.85,6512,6351,660,7.732779720462545,6460,1278,154.070710995086,0.10392064241851677
2018-09,166.46,145.0,21.46,4439.54,4273.08,16,0,0,,14,1,10.40375,
2018-10,0.0,0.0,0.0,589.67,589.67,4,0,0,,4,0,0.0,
